Metric,Value
Exercise,SQUAT
Date,2026-07-04 13:25
Total Reps,1
Sets Completed,0
Duration (s),93.6
Avg Knee Angle (°),88.0
Fastest Rep (s),0.49
Slowest Rep (s),0.49
Calories,0.3

Rep #,Duration (s),Min Knee Angle (°)
1,0.49,88.0
